career_objective,skills,degree_names,major_field_of_studies,positions,responsibilities,languages,certification_skills,combined_text
Fresher Data Engineer who is experienced in pipeline building and analytics. Seeking to leverage my technical and analytical skills to drive growth of the organization.,"['Data Engineer', 'Data Analytics', 'Data Visualization', 'Machine Learning', 'Statistical Modeling', 'Predictive Modeling', 'MongoDB', 'PowerBI', 'Tableau', 'Python', 'MySQL']","['B.Tech', 'PG Diploma']","['Electronics and Communication', 'Data Science and Engineering']",['Data Engineer Associate'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,,"Fresher Data Engineer who is experienced in pipeline building and analytics. Seeking to leverage my technical and analytical skills to drive growth of the organization. ['Data Engineer', 'Data Analytics', 'Data Visualization', 'Machine Learning', 'Statistical Modeling', 'Predictive Modeling', 'MongoDB', 'PowerBI', 'Tableau', 'Python', 'MySQL'] ['B.Tech', 'PG Diploma'] ['Electronics and Communication', 'Data Science and Engineering'] ['Data Engineer Associate'] Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support  "
Fresher who is well acquainted with some of the Natural Language Processing (NLP) and text analysis. I have worked on a few projects and also on databases to extract data and process them. In search of a role where I can understand about the commercial applications and contribute to them.,"['Data Analysis', 'Machine Learning', 'Regression Analysis', 'Time Series Analysis', 'SQL', 'Base SAS', 'Python', 'Natural Language Processing', 'Text analysis', 'Numpy', 'Pandas', 'Matplotlib', 'Seaborn', 'Statistical Analysis', 'NLTK', 'BERT', 'Transformers', 'Pytesseract', 'Clustering', 'KNN', 'K-Means']",['B.Sc(CA)'],['N/A'],['Python Developer Intern'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,,"Fresher who is well acquainted with some of the Natural Language Processing (NLP) and text analysis. I have worked on a few projects and also on databases to extract data and process them. In search of a role where I can understand about the commercial applications and contribute to them. ['Data Analysis', 'Machine Learning', 'Regression Analysis', 'Time Series Analysis', 'SQL', 'Base SAS', 'Python', 'Natural Language Processing', 'Text analysis', 'Numpy', 'Pandas', 'Matplotlib', 'Seaborn', 'Statistical Analysis', 'NLTK', 'BERT', 'Transformers', 'Pytesseract', 'Clustering', 'KNN', 'K-Means'] ['B.Sc(CA)'] ['N/A'] ['Python Developer Intern'] Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution  "
,"['accounting', 'accounts payable', 'Accounts Receivable', 'ADP', 'advertising', 'AR', 'balance sheet', 'balance', 'bank reconciliations', 'benefits', 'billing', 'billings', 'book keeping', 'budget', 'cash flow projections', 'cash flow', 'controller', 'Credit', 'clients', 'data collection', 'delivery', 'documentation', 'email', 'Finance', 'financial', 'financial reporting', 'financial statements', 'fixed assets', 'General Ledger', 'inventory', 'job costing', 'ledger', 'legal', 'materials', 'meetings', 'Microsoft Access', 'Microsoft Excel', 'Excel', 'Microsoft Word', 'negotiating', 'DBA', 'Payables', 'payroll', 'Peachtree', 'processes', 'coding', 'purchasing', 'Express', 'Quick Books', 'QuickBooks', 'Research', 'Sage', 'Sales', 'Spreadsheet', 'Tax', 'software support', 'valuation', 'year-end']","['Bachelor of Science', 'Bachelor of Science']","['Accounting', 'Business Administration Finance']","['Staff Accountant', 'Staff Accountant', 'Staff Accountant', 'Financial Management Partner']","Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,," ['accounting', 'accounts payable', 'Accounts Receivable', 'ADP', 'advertising', 'AR', 'balance sheet', 'balance', 'bank reconciliations', 'benefits', 'billing', 'billings', 'book keeping', 'budget', 'cash flow projections', 'cash flow', 'controller', 'Credit', 'clients', 'data collection', 'delivery', 'documentation', 'email', 'Finance', 'financial', 'financial reporting', 'financial statements', 'fixed assets', 'General Ledger', 'inventory', 'job costing', 'ledger', 'legal', 'materials', 'meetings', 'Microsoft Access', 'Microsoft Excel', 'Excel', 'Microsoft Word', 'negotiating', 'DBA', 'Payables', 'payroll', 'Peachtree', 'processes', 'coding', 'purchasing', 'Express', 'Quick Books', 'QuickBooks', 'Research', 'Sage', 'Sales', 'Spreadsheet', 'Tax', 'software support', 'valuation', 'year-end'] ['Bachelor of Science', 'Bachelor of Science'] ['Accounting', 'Business Administration Finance'] ['Staff Accountant', 'Staff Accountant', 'Staff Accountant', 'Financial Management Partner'] Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support  "
,"['GIS', 'lighting designs using Visual Professional', 'Access', 'Excel', 'Microsoft Office', 'Power Point']","['Bachelors', 'Associates Degree']","['Information Technology', 'N/A']","['Lighting Field Engineering Technician', 'Administrative Technical Aide', 'Customer Service Professional', 'Business Cooperative Education Student- Customer Care']","Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,," ['GIS', 'lighting designs using Visual Professional', 'Access', 'Excel', 'Microsoft Office', 'Power Point'] ['Bachelors', 'Associates Degree'] ['Information Technology', 'N/A'] ['Lighting Field Engineering Technician', 'Administrative Technical Aide', 'Customer Service Professional', 'Business Cooperative Education Student- Customer Care'] Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks  "
,"['Analytical reasoning', 'Budget forecasting expertise', 'Account reconciliation expert', 'Financial planner', 'Effective time management', 'Advanced computer proficiency (PC and Mac)', 'Strong organizational skills', 'Excellent managerial techniques', 'Microsoft Windows', 'Word', 'Excel', 'PowerPoint', 'Access', 'Adobe', 'Mac iOS', 'QuickBooks Pro 2015/2016/2017', 'Profit Pluss 2k8', 'SAP', 'Lacerte', 'ComplyRight', 'Real Estate P.M.A.S.', 'AppFolio', 'ADP Ezlabor', 'ADP Payroll']","['BBA', 'Course', 'High School Diploma', 'Seminar', 'Seminar', 'Seminar']","['Accounting', 'Informatics Engineering', 'Science', 'California Payroll Law', 'Tax Planning and Prepaid Taxes', 'SAP']","['Accountant', 'Accountant', 'Bookkeeper', 'Controller Assistant', 'Controller']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","['Spanish', 'English', 'Portuguese']",[[]]," ['Analytical reasoning', 'Budget forecasting expertise', 'Account reconciliation expert', 'Financial planner', 'Effective time management', 'Advanced computer proficiency (PC and Mac)', 'Strong organizational skills', 'Excellent managerial techniques', 'Microsoft Windows', 'Word', 'Excel', 'PowerPoint', 'Access', 'Adobe', 'Mac iOS', 'QuickBooks Pro 2015/2016/2017', 'Profit Pluss 2k8', 'SAP', 'Lacerte', 'ComplyRight', 'Real Estate P.M.A.S.', 'AppFolio', 'ADP Ezlabor', 'ADP Payroll'] ['BBA', 'Course', 'High School Diploma', 'Seminar', 'Seminar', 'Seminar'] ['Accounting', 'Informatics Engineering', 'Science', 'California Payroll Law', 'Tax Planning and Prepaid Taxes', 'SAP'] ['Accountant', 'Accountant', 'Bookkeeper', 'Controller Assistant', 'Controller'] Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation ['Spanish', 'English', 'Portuguese'] [[]]"
Post Graduate Analyst experienced in Business Management and Statistical Analysis. I have a very good grasp on finding the best solution for a business and applying them.,"['Data Analysis', 'Business Analysis', 'Statistical Analysis', 'Regression Analysis', 'Natural Language Processing', 'Machine Learning', 'Numerical Analysis']","['BSc', 'MSc']","['Statistics', 'Data Analysis and Statistical Computation']",['Statistical Analyst'],"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,[['Natural Learning Processing']],"Post Graduate Analyst experienced in Business Management and Statistical Analysis. I have a very good grasp on finding the best solution for a business and applying them. ['Data Analysis', 'Business Analysis', 'Statistical Analysis', 'Regression Analysis', 'Natural Language Processing', 'Machine Learning', 'Numerical Analysis'] ['BSc', 'MSc'] ['Statistics', 'Data Analysis and Statistical Computation'] ['Statistical Analyst'] Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting  [['Natural Learning Processing']]"
"To advance in professional and personal experiences within Finance, Tax Accounting and Management To obtain a Staff Accountant position that will enable me to perform my best using my mathematical, numerical, accounting and analytical ability for the betterment of the organization.","['Microsoft applications', 'Excellent writing skills', 'Research support', 'Analytical skills', 'Accounting', 'billing', 'C programming', 'closing', 'consultant', 'Consulting', 'credit', 'Client', 'clients', 'customer care', 'data entry', 'database', 'debit', 'delivery', 'documentation', 'editing', 'Senior Management', 'fetch', 'filing', 'Financial', 'Forms', 'Full Life Cycle', 'funds', 'General Ledger accounts', 'legal', 'managing', 'Excel', 'office', 'Windows', 'Microsoft Word', 'month-end closing', 'Oracle', 'Oracle database', 'Designer 2000', 'Developer', 'OS/2', 'processing payments', 'policies', 'processes', 'proposals', 'Quality assurance', 'read', 'real estate', 'reporting', 'requirement', 'Sales', 'scheduling', 'scripts', 'Solomon', 'SQL', 'System Integration', 'tables', 'Tax accounting', 'Tax', 'tax returns', 'Technical documentation', 'telephone', 'upgrades', 'utilities']","['Diploma', 'Bachelor of Science']","['Accounting', 'Computer Science']","['Staff Accountant', 'Financial Aid Accounting Administrator', 'Customer Care Consultant', 'Computer Programmer', 'Computer Programmer Analyst']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,"To advance in professional and personal experiences within Finance, Tax Accounting and Management To obtain a Staff Accountant position that will enable me to perform my best using my mathematical, numerical, accounting and analytical ability for the betterment of the organization. ['Microsoft applications', 'Excellent writing skills', 'Research support', 'Analytical skills', 'Accounting', 'billing', 'C programming', 'closing', 'consultant', 'Consulting', 'credit', 'Client', 'clients', 'customer care', 'data entry', 'database', 'debit', 'delivery', 'documentation', 'editing', 'Senior Management', 'fetch', 'filing', 'Financial', 'Forms', 'Full Life Cycle', 'funds', 'General Ledger accounts', 'legal', 'managing', 'Excel', 'office', 'Windows', 'Microsoft Word', 'month-end closing', 'Oracle', 'Oracle database', 'Designer 2000', 'Developer', 'OS/2', 'processing payments', 'policies', 'processes', 'proposals', 'Quality assurance', 'read', 'real estate', 'reporting', 'requirement', 'Sales', 'scheduling', 'scripts', 'Solomon', 'SQL', 'System Integration', 'tables', 'Tax accounting', 'Tax', 'tax returns', 'Technical documentation', 'telephone', 'upgrades', 'utilities'] ['Diploma', 'Bachelor of Science'] ['Accounting', 'Computer Science'] ['Staff Accountant', 'Financial Aid Accounting Administrator', 'Customer Care Consultant', 'Computer Programmer', 'Computer Programmer Analyst'] Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support  "
,"['R', 'Python', 'Tableau', 'Power BI', 'SQL', 'SAS', 'Deep Learning', 'Neural Networks', 'Artificial Intelligence']",['BCA'],['N/A'],['BUSINESS ANALYST'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,[None]," ['R', 'Python', 'Tableau', 'Power BI', 'SQL', 'SAS', 'Deep Learning', 'Neural Networks', 'Artificial Intelligence'] ['BCA'] ['N/A'] ['BUSINESS ANALYST'] Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support  [None]"
Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same.,"['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI']",['B.Tech'],['Computers'],['Machine Learning Developer'],"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,,"Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same. ['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI'] ['B.Tech'] ['Computers'] ['Machine Learning Developer'] Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration  "
,"['Business Development & Sales Leadership', 'Sales Presentations', 'Client Development', 'Strategic Planning', 'Market Expansion', 'Team Building & Leadership', 'Client Engagement', 'Market Analysis/Competitive Positioning', 'Sales Forecasting', 'Vendor Sourcing/Relations', 'Change Management', 'Process Improvement', 'Profit Improvement', 'account management', 'streamline', 'business development', 'cold calling', 'compliance management', 'inventory management', 'inventory levels', 'inventory control', 'logistics', 'mailing', 'marketing strategies', 'process management', 'sales', 'VoIP']",['Bachelor of Arts'],['Business Administration'],"['Director of Business Development', 'Inside Sales Representative', 'General Manager', 'Assistant Manager']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,," ['Business Development & Sales Leadership', 'Sales Presentations', 'Client Development', 'Strategic Planning', 'Market Expansion', 'Team Building & Leadership', 'Client Engagement', 'Market Analysis/Competitive Positioning', 'Sales Forecasting', 'Vendor Sourcing/Relations', 'Change Management', 'Process Improvement', 'Profit Improvement', 'account management', 'streamline', 'business development', 'cold calling', 'compliance management', 'inventory management', 'inventory levels', 'inventory control', 'logistics', 'mailing', 'marketing strategies', 'process management', 'sales', 'VoIP'] ['Bachelor of Arts'] ['Business Administration'] ['Director of Business Development', 'Inside Sales Representative', 'General Manager', 'Assistant Manager'] Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO  "
,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['Bachelor of Business Administration'],['Accounting'],"['Senior Accountant', 'Accountant', 'Financial Analyst']","Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,[None]," ['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns'] ['Bachelor of Business Administration'] ['Accounting'] ['Senior Accountant', 'Accountant', 'Financial Analyst'] Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking  [None]"
Deep Learning fresher who is looking to join a company to understand and experience production grade models. I am experienced with latent as well as cloud-based models on Azure and AWS,"['Applied Machine Learning', 'Deep Learning', 'Computer Vision', 'Guided Mechanisms', 'Search Algorithms', 'Optimization', 'Parameter tuning']",['B.Tech'],['Computer Science & Engineering'],['Junior Intern'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",,,"Deep Learning fresher who is looking to join a company to understand and experience production grade models. I am experienced with latent as well as cloud-based models on Azure and AWS ['Applied Machine Learning', 'Deep Learning', 'Computer Vision', 'Guided Mechanisms', 'Search Algorithms', 'Optimization', 'Parameter tuning'] ['B.Tech'] ['Computer Science & Engineering'] ['Junior Intern'] Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification  "
I am a software developer and analyst professional working for a year with client side technology and Machine Learning product delivery. I have handled small but scalable Machine Learning projects and want to expand my experience and expertise in the domain.,"['Tensorflow', 'AWS', 'Keras', 'Deep Learning', 'Pytorch', 'Flask', 'Machine Learning', 'PySpark', 'Kafka', 'XML', 'API', 'JavaScript', 'AngularJS', 'SAP', 'RestAPI', 'PHP']",['B.Tech(IT)'],['Information Technology'],['Software Developer ML'],"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,,"I am a software developer and analyst professional working for a year with client side technology and Machine Learning product delivery. I have handled small but scalable Machine Learning projects and want to expand my experience and expertise in the domain. ['Tensorflow', 'AWS', 'Keras', 'Deep Learning', 'Pytorch', 'Flask', 'Machine Learning', 'PySpark', 'Kafka', 'XML', 'API', 'JavaScript', 'AngularJS', 'SAP', 'RestAPI', 'PHP'] ['B.Tech(IT)'] ['Information Technology'] ['Software Developer ML'] Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




  "
"Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. As someone who is always learning, I would love to use my knowledge to provide the best solutions.","['Neural Networks', 'Python', 'Postgresql', 'Django', 'Microsoft Azure', 'Flask', 'Hive', 'Kafka', 'Business Analysis', 'Machine Learning', 'Deep Learning']","['B.Tech', 'MSc']","['Electronics/Telecommunication', 'Data Science']",['Machine Learning Engineer'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,,"Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. As someone who is always learning, I would love to use my knowledge to provide the best solutions. ['Neural Networks', 'Python', 'Postgresql', 'Django', 'Microsoft Azure', 'Flask', 'Hive', 'Kafka', 'Business Analysis', 'Machine Learning', 'Deep Learning'] ['B.Tech', 'MSc'] ['Electronics/Telecommunication', 'Data Science'] ['Machine Learning Engineer'] iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality  "
I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future.,"['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend']",['B.Tech'],['Civil'],['Application Development Associate'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,"I want to join a role where I can experiment and learn with new types of data and increase my ability to build more complex models in the future. ['Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Software Engineering', 'Python', 'Java', 'SAP', 'C', 'C++', 'Jenkins', 'Kubernetes', 'Docker', 'Backend'] ['B.Tech'] ['Civil'] ['Application Development Associate'] Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration  "
,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['Bachelor of Business Administration'],['Accounting'],"['Senior Accountant', 'Accountant', 'Financial Analyst']","Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",,[None]," ['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns'] ['Bachelor of Business Administration'] ['Accounting'] ['Senior Accountant', 'Accountant', 'Financial Analyst'] Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




  [None]"
"Fresher starting out with Business Analysis, and machine learning modelling based on data engineering.","['Business Analyst', 'Data Analysis', 'Business Analysis', 'Machine Learning', 'Tableau', 'Seaborn', 'Python', 'R', 'AWS VIEW', 'NodeJS']",['BBA'],['N/A'],['Part-Time Analyst'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,[['Tableau Visualization']],"Fresher starting out with Business Analysis, and machine learning modelling based on data engineering. ['Business Analyst', 'Data Analysis', 'Business Analysis', 'Machine Learning', 'Tableau', 'Seaborn', 'Python', 'R', 'AWS VIEW', 'NodeJS'] ['BBA'] ['N/A'] ['Part-Time Analyst'] Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication  [['Tableau Visualization']]"
"An enthusiast, with a Master's degree in Electronics & Telecommunication, very keen to learn & eagerly looking for opportunities.","['Data science', 'Deep learning', 'Neural Networks', 'Artificial Intelligence', 'Natural Language Processing', 'Pattern Recognition', 'Machine Learning', 'Predictive Analytics', 'Logistic regression']",['B.CA'],['N/A'],['Intern Trainee'],"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",,,"An enthusiast, with a Master's degree in Electronics & Telecommunication, very keen to learn & eagerly looking for opportunities. ['Data science', 'Deep learning', 'Neural Networks', 'Artificial Intelligence', 'Natural Language Processing', 'Pattern Recognition', 'Machine Learning', 'Predictive Analytics', 'Logistic regression'] ['B.CA'] ['N/A'] ['Intern Trainee'] Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution  "
Recent Graduate testing and debugging machine learning models. I have worked on multiple projects and have contributed to the testing and quality control of models over time. I am looking to switch to a development role where I can exercise my skills.,"['Machine Learning', 'Data Analytics', 'Data Manipulation', 'Data Mining', 'Deep Learning', 'Algorithms', 'Selenium', 'Jenkins', 'Python', 'Java', 'SQL', 'Quality Control']",['B.Tech'],['Information Technology'],['Junior Machine Learning Engineer'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",,[['Selenium']],"Recent Graduate testing and debugging machine learning models. I have worked on multiple projects and have contributed to the testing and quality control of models over time. I am looking to switch to a development role where I can exercise my skills. ['Machine Learning', 'Data Analytics', 'Data Manipulation', 'Data Mining', 'Deep Learning', 'Algorithms', 'Selenium', 'Jenkins', 'Python', 'Java', 'SQL', 'Quality Control'] ['B.Tech'] ['Information Technology'] ['Junior Machine Learning Engineer'] Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation  [['Selenium']]"
"An avid data analyst looking to step into the world of machine learning and data sciences. I have experience related to Data Mining, Data Visualization, Text Analytics, Data Collection and would currently like to expand my horizon and work on Machine Learning projects.","['Data Analyst', 'Data Mining', 'Data Visualization', 'Text Analytics', 'Data Collection', 'Data Cleaning', 'Business Analysis', 'Python', 'SQL', 'Google Bigquery', 'Tableau', 'Kibana', 'MS Excel/ MS Office', 'Linux', 'Elastic Search', 'Machine Learning']",['BCA'],['N/A'],['Blockchain Analyst'],"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,,"An avid data analyst looking to step into the world of machine learning and data sciences. I have experience related to Data Mining, Data Visualization, Text Analytics, Data Collection and would currently like to expand my horizon and work on Machine Learning projects. ['Data Analyst', 'Data Mining', 'Data Visualization', 'Text Analytics', 'Data Collection', 'Data Cleaning', 'Business Analysis', 'Python', 'SQL', 'Google Bigquery', 'Tableau', 'Kibana', 'MS Excel/ MS Office', 'Linux', 'Elastic Search', 'Machine Learning'] ['BCA'] ['N/A'] ['Blockchain Analyst'] Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge  "
